module,skill,display-name,menu-code,description,action,args,phase,after,before,required,output-location,outputs
BMad Builder,bmad-bmb-setup,Setup Builder Module,SB,Install or update BMad Builder module config and help entries.,configure,{-H: headless mode}|{inline values: skip prompts with provided values},anytime,,,false,{project-root}/_bmad,config.yaml and config.user.yaml
BMad Builder,bmad-agent-builder,Build an Agent,BA,"Create, edit, or rebuild an agent skill through conversational discovery.",build-process,{-H: headless mode}|{description: initial agent concept}|{path: existing agent to edit or rebuild},anytime,,bmad-agent-builder:quality-analysis,false,bmad_builder_output_folder,agent skill
BMad Builder,bmad-agent-builder,Analyze an Agent,AA,"Run quality analysis on an existing agent — structure, cohesion, prompt craft, and enhancement opportunities.",quality-analysis,{-H: headless mode}|{path: agent to analyze},anytime,bmad-agent-builder:build-process,,false,bmad_builder_reports,quality report
BMad Builder,bmad-workflow-builder,Build a Workflow,BW,"Create, edit, or rebuild a workflow or utility skill.",build-process,{-H: headless mode}|{description: initial skill concept}|{path: existing skill to edit or rebuild},anytime,,bmad-workflow-builder:quality-analysis,false,bmad_builder_output_folder,workflow skill
BMad Builder,bmad-workflow-builder,Analyze a Workflow,AW,"Run quality analysis on an existing workflow/skill — structure, efficiency, and enhancement opportunities.",quality-analysis,{-H: headless mode}|{path: skill to analyze},anytime,bmad-workflow-builder:build-process,,false,bmad_builder_reports,quality report
BMad Builder,bmad-workflow-builder,Convert a Skill,CW,"Convert any skill to BMad-compliant, outcome-driven equivalent with before/after HTML comparison report.",convert-process,{--convert: path or URL to source skill}|{-H: headless mode},anytime,,,false,bmad_builder_reports,converted skill + comparison report
BMad Builder,bmad-module-builder,Ideate Module,IM,"Brainstorm and plan a BMad module — explore ideas, decide architecture, and produce a build plan.",ideate-module,{description: initial module idea},anytime,,bmad-module-builder:create-module,false,bmad_builder_reports,module plan
BMad Builder,bmad-module-builder,Create Module,CM,"Scaffold module infrastructure into built skills, making them an installable BMad module.",create-module,{-H: headless mode}|{path: skills folder or single SKILL.md},anytime,bmad-module-builder:ideate-module,,false,bmad_builder_output_folder,setup skill
BMad Builder,bmad-module-builder,Validate Module,VM,"Check that a module's structure is complete, accurate, and all capabilities are properly registered.",validate-module,{-H: headless mode}|{path: module or skill to validate},anytime,bmad-module-builder:create-module,,false,bmad_builder_reports,validation report
LENS,bmad-lens-setup,Setup LENS,LST,"Install or update LENS module config, help entries, and output directories.",configure,{-H: headless mode}|{inline values: skip prompts with provided values},anytime,,,false,{project-root}/_bmad,"config.yaml, config.user.yaml, and module-help.csv"
LENS,bmad-lens-help,LENS Help,LHP,"Guide users to the next LENS or BMAD step for discovery, slicing, traceability, and validation.",guide,[path or context optional],anytime,,,false,lens_output_folder,routing guidance and next-step recommendation
LENS,bmad-lens-intake,LENS Intake,LIN,"Classify incoming work as top-down discovery, bottom-up slice growth, bridge work, validation, or correction.",intake,[path or context optional],1-analysis,,,false,lens_output_folder,intake note and recommended path
LENS,bmad-lens-slice-new,New Slice,LSN,"Create a stable slice record from one useful thing without forcing system, domain, or capability promotion.",create-slice,[path or context optional],1-analysis,,,false,lens_slices_folder,"slice.yaml, slice.md, acceptance-evidence.yaml"
LENS,bmad-lens-slice-frame,Frame Slice,LFR,"Frame a candidate slice with goal, starts-with, ends-with, vertical path, evidence, and boundaries.",frame-slice,[path or context optional],1-analysis,,,false,lens_slices_folder,slice framing note
LENS,bmad-lens-slice-scope,Scope Slice,LSC,"Tighten a slice scope by separating required work, explicit exclusions, risks, and acceptance evidence.",scope-slice,[path or context optional],1-analysis,,,false,lens_slices_folder,scope decision record
LENS,bmad-lens-detect-adjacency,Detect Adjacency,LAD,"Detect weak or strong adjacency between slices through shared artifacts, workflow, risks, or dependencies.",detect-adjacency,[path or context optional],1-analysis,,,false,lens_archive_folder,adjacency records
LENS,bmad-lens-detect-repetition,Detect Repetition,LRE,"Detect repeated pressure across slices, artifacts, risks, workflows, dependencies, and ownership concerns.",detect-repetition,[path or context optional],1-analysis,,,false,lens_archive_folder,pressure report
LENS,bmad-lens-suggest-promotion,Suggest Promotion,LPR,Prepare evidence-driven promotion candidates while keeping promotion optional and human-reviewed.,suggest-promotion,[path or context optional],2-planning,,,false,lens_landscape_folder,promotion gate
LENS,bmad-lens-discover,Discover System,LDS,Run a discovery epoch for a large ambiguous system before PRD or architecture work begins.,discover,[path or context optional],1-analysis,,,false,lens_archive_folder,discovery epoch and discovery notes
LENS,bmad-lens-capture,Capture Raw Input,LCP,"Capture sessions, notes, documents, screenshots, codebase hints, and BMAD artifacts without treating them as truth.",capture,[path or context optional],1-analysis,,,false,lens_archive_folder,capture session and source records
LENS,bmad-lens-synthesize,Synthesize Concepts,LSY,"Extract candidate roles, outcomes, journeys, artifacts, risks, assumptions, and relationships from raw material.",synthesize,[path or context optional],1-analysis,,,false,lens_archive_folder,extraction yaml and extraction index update
LENS,bmad-lens-context-check,Context Check,LCC,"Assess whether context is sufficient for PRD, architecture, or BMAD planning and block premature PRD creation.",check-context,[path or context optional],1-analysis,bmad-lens-synthesize:synthesize,bmad-lens-prepare-bmad:prepare-bmad,true,lens_gates_folder,context sufficiency report and context-score.yaml
LENS,bmad-lens-research-plan,Research Plan,LRP,"Turn context gaps into focused BMAD domain, market, technical, adversarial, or elicitation research tasks.",plan-research,[path or context optional],1-analysis,,,false,lens_archive_folder,research plan
LENS,bmad-lens-map-system,Map System,LMS,"Model a system thesis, roles, stakeholders, principles, constraints, assumptions, risks, and non-goals.",map-system,[path or context optional],1-analysis,,,false,lens_intent_folder,system thesis and intent ledgers
LENS,bmad-lens-map-outcomes,Map Outcomes,LMO,Map role-specific outcomes and stakeholder value without jumping directly to features or PRD.,map-outcomes,[path or context optional],1-analysis,,,false,lens_intent_folder,outcome matrix
LENS,bmad-lens-map-loops,Map Loops,LML,"Map operating loops that explain repeated system behavior, evidence movement, decisions, and state changes.",map-loops,[path or context optional],1-analysis,,,false,lens_intent_folder,operating loops ledger
LENS,bmad-lens-map-journeys,Map Journeys,LMJ,"Map end-to-end journeys across roles, data, decisions, system surfaces, and success evidence.",map-journeys,[path or context optional],1-analysis,,,false,lens_journeys_folder,"journey.yaml, journey.md, journey-map.mmd"
LENS,bmad-lens-slice-journey,Slice Journey,LSJ,Select thin vertical slices from a mapped journey using sequencing rationale and acceptance evidence.,slice-journey,[path or context optional],1-analysis,,,false,lens_slices_folder,slice roadmap and selected slice
LENS,bmad-lens-map-capabilities,Map Capabilities,LMC,"Derive capability candidates from journeys, slices, repeated pressure, and implementation evidence.",map-capabilities,[path or context optional],3-solutioning,,,false,lens_landscape_folder,capability ledger or candidate map
LENS,bmad-lens-analyze-impact,Analyze Impact,LIM,"Create a slice impact map covering likely files, services, contracts, tests, workstreams, data, privacy, and decisions.",analyze-impact,[path or context optional],3-solutioning,,,false,lens_landscape_folder,slice impact map
LENS,bmad-lens-promote-landscape,Promote Landscape,LPL,Promote reviewed entities and relationships into the Living Landscape without rewriting archive history.,promote-landscape,[path or context optional],3-solutioning,,,false,lens_landscape_folder,landscape ledger updates and promotion decision
LENS,bmad-lens-map-rebuild,Rebuild Map,LMR,"Regenerate the Derived Map, relationship index, traceability index, freshness index, and warnings from source truth.",rebuild-map,[path or context optional],anytime,bmad-lens-promote-landscape:promote-landscape,bmad-lens-doctor:audit-topology,false,lens_graph_folder,"derived map, indexes, warnings"
